844,870,803,779,729,681,655,653,633,613,598,574,559,552,553,559,538,554,522,423,842,733,683,561,0,0,0,0
1080,1054,1031,1025,1010,948,913,885,878,887,896,934,936,961,991,1005,1033,950,1087,935,1025,743,115,4,0,0,0,28
638,713,682,582,556,493,440,382,354,321,302,246,230,225,207,200,185,116,60,10,0,0,0,23,0,0,71,91
853,871,866,766,667,637,565,542,533,497,476,445,436,384,381,316,300,226,210,149,268,56,286,79,2,55,14,0
619,644,601,532,458,332,281,226,200,155,155,148,134,120,92,72,43,41,35,12,35,0,0,0,0,0,0,0
628,716,684,592,534,484,439,425,405,397,368,366,354,336,322,299,277,243,213,188,61,41,68,113,0,0,52,76
689,785,751,738,691,671,577,590,562,523,503,481,466,452,397,396,271,250,187,395,438,424,681,27,0,519,580,630
749,775,763,644,592,486,428,390,334,305,288,242,230,197,185,152,140,104,99,37,38,11,12,2,2,2,0,267
655,674,718,648,605,578,512,483,402,362,297,228,153,128,82,90,82,49,38,15,16,23,4,3,854,734,622,499
735,793,775,751,719,681,657,641,661,614,585,527,496,504,422,427,323,650,206,782,478,607,740,960,379,0,0,0
